[2026-03-19 13:49:23] Step 50 | jepa: 0.1087 | variance: 0.9883 | covariance: 0.0000 | physics: 4.3400 | total: 0.5921
[2026-03-19 13:49:34] Step 100 | jepa: 0.0451 | variance: 0.9888 | covariance: 0.0000 | physics: 4.5300 | total: 0.5476
[2026-03-19 13:49:45] Step 150 | jepa: 0.0299 | variance: 0.9889 | covariance: 0.0000 | physics: 4.2465 | total: 0.5040
[2026-03-19 13:49:55] Step 200 | jepa: 0.0258 | variance: 0.9891 | covariance: 0.0000 | physics: 4.3065 | total: 0.5059
[2026-03-19 13:50:03] Step 250 | jepa: 0.0225 | variance: 0.9891 | covariance: 0.0000 | physics: 4.1895 | total: 0.4909
[2026-03-19 13:50:14] Step 300 | jepa: 0.0218 | variance: 0.9892 | covariance: 0.0000 | physics: 4.2858 | total: 0.4998
[2026-03-19 13:50:25] Step 350 | jepa: 0.0220 | variance: 0.9892 | covariance: 0.0000 | physics: 4.1529 | total: 0.4867
[2026-03-19 13:50:35] Step 400 | jepa: 0.0213 | variance: 0.9892 | covariance: 0.0000 | physics: 4.2806 | total: 0.4988
[2026-03-19 13:50:45] Step 450 | jepa: 0.0209 | variance: 0.9892 | covariance: 0.0000 | physics: 4.4168 | total: 0.5120
[2026-03-19 13:50:54] Step 500 | jepa: 0.0195 | variance: 0.9893 | covariance: 0.0000 | physics: 4.4897 | total: 0.5180
[2026-03-19 13:51:05] Step 550 | jepa: 0.0211 | variance: 0.9893 | covariance: 0.0000 | physics: 4.6206 | total: 0.5327
[2026-03-19 13:51:16] Step 600 | jepa: 0.0203 | variance: 0.9893 | covariance: 0.0000 | physics: 4.4786 | total: 0.5176
[2026-03-19 13:51:27] Step 650 | jepa: 0.0213 | variance: 0.9893 | covariance: 0.0000 | physics: 4.5796 | total: 0.5287
[2026-03-19 13:51:38] Step 700 | jepa: 0.0215 | variance: 0.9893 | covariance: 0.0000 | physics: 4.4845 | total: 0.5194
[2026-03-19 13:51:46] Step 750 | jepa: 0.0179 | variance: 0.9893 | covariance: 0.0000 | physics: 4.6216 | total: 0.5295
[2026-03-19 13:51:57] Step 800 | jepa: 0.0193 | variance: 0.9892 | covariance: 0.0000 | physics: 4.6677 | total: 0.5355
[2026-03-19 13:52:07] Step 850 | jepa: 0.0172 | variance: 0.9894 | covariance: 0.0000 | physics: 4.5944 | total: 0.5261
[2026-03-19 13:52:18] Step 900 | jepa: 0.0185 | variance: 0.9893 | covariance: 0.0000 | physics: 4.5748 | total: 0.5254
[2026-03-19 13:52:30] Step 950 | jepa: 0.0185 | variance: 0.9891 | covariance: 0.0000 | physics: 4.7369 | total: 0.5416
[2026-03-19 13:52:38] Step 1000 | jepa: 0.0192 | variance: 0.9892 | covariance: 0.0000 | physics: 4.5314 | total: 0.5218
[2026-03-19 13:52:49] Step 1050 | jepa: 0.0218 | variance: 0.9892 | covariance: 0.0000 | physics: 4.7930 | total: 0.5506
[2026-03-19 13:53:00] Step 1100 | jepa: 0.0214 | variance: 0.9892 | covariance: 0.0000 | physics: 4.8284 | total: 0.5537
[2026-03-19 13:53:12] Step 1150 | jepa: 0.0161 | variance: 0.9893 | covariance: 0.0000 | physics: 4.7509 | total: 0.5407
[2026-03-19 13:53:23] Step 1200 | jepa: 0.0199 | variance: 0.9893 | covariance: 0.0000 | physics: 4.6899 | total: 0.5383
[2026-03-19 13:53:32] Step 1250 | jepa: 0.0216 | variance: 0.9892 | covariance: 0.0000 | physics: 4.9412 | total: 0.5651
[2026-03-19 13:53:43] Step 1300 | jepa: 0.0176 | variance: 0.9894 | covariance: 0.0000 | physics: 4.8310 | total: 0.5501
[2026-03-19 13:53:56] Step 1350 | jepa: 0.0181 | variance: 0.9895 | covariance: 0.0000 | physics: 4.7400 | total: 0.5416
[2026-03-19 13:54:08] Step 1400 | jepa: 0.0191 | variance: 0.9893 | covariance: 0.0000 | physics: 5.0237 | total: 0.5710
[2026-03-19 13:54:19] Step 1450 | jepa: 0.0187 | variance: 0.9896 | covariance: 0.0000 | physics: 4.7783 | total: 0.5460
[2026-03-19 13:54:29] Step 1500 | jepa: 0.0193 | variance: 0.9895 | covariance: 0.0000 | physics: 4.7943 | total: 0.5482
[2026-03-19 13:54:41] Step 1550 | jepa: 0.0228 | variance: 0.9896 | covariance: 0.0000 | physics: 4.7787 | total: 0.5501
[2026-03-19 13:54:52] Step 1600 | jepa: 0.0178 | variance: 0.9895 | covariance: 0.0000 | physics: 4.8166 | total: 0.5489
[2026-03-19 13:55:03] Step 1650 | jepa: 0.0169 | variance: 0.9895 | covariance: 0.0000 | physics: 4.9419 | total: 0.5606
[2026-03-19 13:55:11] Step 1700 | jepa: 0.0174 | variance: 0.9896 | covariance: 0.0000 | physics: 4.7143 | total: 0.5383
[2026-03-19 13:55:22] Step 1750 | jepa: 0.0176 | variance: 0.9895 | covariance: 0.0000 | physics: 4.6999 | total: 0.5370
[2026-03-19 13:55:33] Step 1800 | jepa: 0.0164 | variance: 0.9895 | covariance: 0.0000 | physics: 4.5876 | total: 0.5246
[2026-03-19 13:55:44] Step 1850 | jepa: 0.0170 | variance: 0.9894 | covariance: 0.0000 | physics: 4.7291 | total: 0.5393
