[2026-03-19 14:22:23] Step 50 | jepa: 0.1999 | variance: 0.9632 | covariance: 0.0525 | physics: 1.0986 | recon: 0.1853 | total: 0.7406
[2026-03-19 14:22:35] Step 100 | jepa: 0.1779 | variance: 0.9633 | covariance: 0.0514 | physics: 1.0986 | recon: 0.1491 | total: 0.8321
[2026-03-19 14:22:46] Step 150 | jepa: 0.2068 | variance: 0.9604 | covariance: 0.0549 | physics: 1.0986 | recon: 0.1348 | total: 1.0086
[2026-03-19 14:22:57] Step 200 | jepa: 0.2666 | variance: 0.9555 | covariance: 0.0706 | physics: 1.0986 | recon: 0.1313 | total: 1.2824
[2026-03-19 14:23:06] Step 250 | jepa: 0.3226 | variance: 0.9485 | covariance: 0.0753 | physics: 1.0986 | recon: 0.1273 | total: 1.3597
[2026-03-19 14:23:16] Step 300 | jepa: 0.3656 | variance: 0.9427 | covariance: 0.0802 | physics: 1.0986 | recon: 0.1167 | total: 1.4216
[2026-03-19 14:23:28] Step 350 | jepa: 0.3708 | variance: 0.9413 | covariance: 0.0750 | physics: 1.0986 | recon: 0.1144 | total: 1.3992
[2026-03-19 14:23:41] Step 400 | jepa: 0.4144 | variance: 0.9361 | covariance: 0.0813 | physics: 1.0986 | recon: 0.1130 | total: 1.4735
[2026-03-19 14:23:51] Step 450 | jepa: 0.3686 | variance: 0.9350 | covariance: 0.0912 | physics: 1.0986 | recon: 0.1279 | total: 1.4847
[2026-03-19 14:24:01] Step 500 | jepa: 0.3612 | variance: 0.9322 | covariance: 0.0867 | physics: 1.0986 | recon: 0.1113 | total: 1.4463
[2026-03-19 14:24:12] Step 550 | jepa: 0.3931 | variance: 0.9296 | covariance: 0.0789 | physics: 1.0986 | recon: 0.1037 | total: 1.4351
[2026-03-19 14:24:23] Step 600 | jepa: 0.3668 | variance: 0.9319 | covariance: 0.0812 | physics: 1.0986 | recon: 0.1129 | total: 1.4252
[2026-03-19 14:24:33] Step 650 | jepa: 0.3241 | variance: 0.9285 | covariance: 0.0877 | physics: 1.0986 | recon: 0.1123 | total: 1.4147
[2026-03-19 14:24:45] Step 700 | jepa: 0.3479 | variance: 0.9303 | covariance: 0.0840 | physics: 1.0986 | recon: 0.1094 | total: 1.4184
[2026-03-19 14:24:56] Step 750 | jepa: 0.3258 | variance: 0.9291 | covariance: 0.0902 | physics: 1.0985 | recon: 0.1091 | total: 1.4273
